Order_id,Customer_id,Restaurant_id,Order_item,Order_time,Order_status,Total_amount
89,8610,356,Dal Makhani,2024-04-21 07:21:41,Preparing,112.06
90,3857,91,Chole Bhature,2024-09-04 07:21:41,Preparing,789.73
91,6685,159,Dal Makhani,2022-08-04 07:21:41,Preparing,116.29
92,8902,409,Dal Makhani,2024-01-24 07:21:41,Cancelled,567.11
93,8584,499,Mutton Curry,2022-12-11 07:21:41,Delivered,935.5
94,8371,313,Paneer Tikka,2024-06-30 07:21:41,Cancelled,330.13
95,9032,361,Rogan Josh,2023-10-24 07:21:41,Cancelled,1280.49
96,9887,320,Dosa,2022-09-08 07:21:41,Preparing,827.59
97,605,76,Chole Bhature,2024-09-21 07:21:41,Preparing,482.34
98,3697,86,Chole Bhature,2024-11-18 07:21:41,Cancelled,738.1
99,572,175,Biryani,2022-11-15 07:21:41,Delivered,799.72
100,103,26,Samosa,2023-05-09 07:21:41,Delivered,277.59
101,9376,203,Rogan Josh,2024-03-22 07:21:41,Preparing,819.59
102,477,458,Dosa,2023-06-02 07:21:41,Preparing,1477.7
103,2364,348,Mutton Curry,2024-02-06 07:21:41,Cancelled,168.48
104,3269,239,Dosa,2024-03-23 07:21:41,Delivered,1183.8
105,3804,449,Pani Puri,2023-06-20 07:21:41,Cancelled,671.73
106,1303,290,Dosa,2024-05-02 07:21:41,Preparing,857.74
107,9909,465,Rogan Josh,2024-02-11 07:21:41,Preparing,294.34
108,7617,75,Dal Makhani,2023-05-21 07:21:41,Preparing,762.88
109,4668,479,Butter Chicken,2024-06-05 07:21:41,Delivered,1121.9
110,3246,257,Dosa,2022-09-02 07:21:41,Cancelled,717.62
111,5118,475,Samosa,2022-06-23 07:21:41,Preparing,766.48
112,6945,161,Mutton Curry,2022-11-01 07:21:41,Delivered,944.95
113,2576,108,Paneer Tikka,2022-11-17 07:21:41,Preparing,311.59
114,9246,224,Dal Makhani,2024-11-15 07:21:41,Preparing,1257.46
115,177,395,Butter Chicken,2024-11-26 07:21:41,Preparing,1370.02
116,3897,407,Chole Bhature,2023-04-29 07:21:41,Preparing,1162.31
117,2258,218,Rogan Josh,2022-09-06 07:21:41,Preparing,964.37
118,2030,411,Dosa,2022-12-07 07:21:41,Cancelled,190.28
119,1539,120,Rogan Josh,2024-04-13 07:21:41,Delivered,1291.07
120,7510,488,Mutton Curry,2023-07-08 07:21:41,Delivered,1346.13
121,3126,98,Rogan Josh,2024-04-25 07:21:41,Cancelled,1087.91
122,5646,221,Dosa,2023-05-23 07:21:41,Cancelled,926.69
123,1589,484,Butter Chicken,2024-03-25 07:21:41,Preparing,244.16
124,8294,274,Dosa,2022-06-02 07:21:41,Delivered,1370.12
125,6608,445,Butter Chicken,2024-12-04 07:21:41,Cancelled,795.83
126,85,317,Mutton Curry,2023-11-17 07:21:41,Cancelled,368.37
127,1484,249,Rogan Josh,2024-12-08 07:21:41,Delivered,519.39
128,5916,456,Dal Makhani,2024-01-04 07:21:41,Preparing,803.81
129,5630,361,Butter Chicken,2022-08-18 07:21:41,Cancelled,1052.35
130,1266,91,Mutton Curry,2022-05-05 07:21:41,Preparing,1376.68
131,7208,53,Samosa,2022-08-21 07:21:41,Cancelled,866.19
132,9716,132,Butter Chicken,2024-06-30 07:21:41,Preparing,225.95
133,8513,228,Biryani,2022-06-26 07:21:41,Preparing,373.91
134,7887,314,Pani Puri,2023-05-28 07:21:41,Cancelled,132.92
135,8658,45,Mutton Curry,2023-01-18 07:21:41,Delivered,240.36
136,1325,397,Mutton Curry,2023-04-16 07:21:41,Cancelled,364.93
137,2380,230,Pani Puri,2023-11-16 07:21:41,Preparing,547.18
138,1464,11,Mutton Curry,2023-03-16 07:21:41,Delivered,247.93
139,5352,432,Mutton Curry,2023-01-26 07:21:41,Delivered,931.5
140,6056,75,Biryani,2024-10-05 07:21:41,Delivered,880.32
141,8753,364,Butter Chicken,2024-09-27 07:21:41,Cancelled,236.59
142,5944,445,Pani Puri,2024-01-22 07:21:41,Preparing,801.37
143,1125,290,Chole Bhature,2023-07-04 07:21:41,Preparing,810.08
144,3541,464,Dal Makhani,2025-03-01 07:21:41,Cancelled,985.9
145,804,329,Dosa,2023-05-16 07:21:41,Delivered,920.57
146,1496,354,Dal Makhani,2024-06-02 07:21:41,Cancelled,822.27
147,2178,149,Mutton Curry,2022-08-01 07:21:41,Delivered,812.25
148,7895,328,Samosa,2024-02-12 07:21:41,Preparing,1262.78
149,5452,338,Butter Chicken,2024-10-06 07:21:41,Delivered,313.5
150,1046,404,Butter Chicken,2022-08-12 07:21:41,Delivered,1240.4
151,7447,300,Mutton Curry,2025-03-05 07:21:41,Delivered,686.43
152,3670,262,Mutton Curry,2022-08-17 07:21:41,Cancelled,266.75
153,388,500,Dosa,2024-08-12 07:21:41,Cancelled,1059.22
154,243,85,Pani Puri,2024-03-29 07:21:41,Preparing,365.54
155,9665,109,Pani Puri,2023-01-14 07:21:41,Preparing,738.0
156,1574,390,Butter Chicken,2023-08-03 07:21:41,Cancelled,1003.13
157,7026,364,Rogan Josh,2024-06-11 07:21:41,Cancelled,1099.47
158,2381,297,Rogan Josh,2022-05-16 07:21:41,Cancelled,795.35
159,5463,286,Pani Puri,2024-12-19 07:21:41,Delivered,1393.71
160,6453,299,Paneer Tikka,2024-01-23 07:21:41,Preparing,1238.9
161,4640,111,Samosa,2022-05-01 07:21:41,Cancelled,926.2
162,8721,392,Mutton Curry,2024-07-12 07:21:41,Cancelled,452.93
163,8987,229,Pani Puri,2024-05-06 07:21:41,Cancelled,679.51
164,305,206,Dosa,2024-05-23 07:21:41,Delivered,409.62
165,2998,312,Mutton Curry,2022-04-02 07:21:41,Cancelled,401.07
166,6948,304,Chole Bhature,2022-11-03 07:21:41,Preparing,919.69
167,9094,93,Rogan Josh,2024-02-12 07:21:41,Cancelled,164.8
168,6257,31,Dosa,2022-10-17 07:21:41,Delivered,974.55
169,2263,60,Paneer Tikka,2022-12-04 07:21:41,Delivered,426.38
170,1021,260,Chole Bhature,2022-09-10 07:21:41,Cancelled,858.79
171,9781,415,Butter Chicken,2024-05-06 07:21:41,Cancelled,893.74
172,4337,280,Samosa,2024-12-17 07:21:41,Preparing,526.53
173,698,244,Dal Makhani,2023-07-04 07:21:41,Delivered,181.34
174,9194,66,Paneer Tikka,2025-02-28 07:21:41,Preparing,1307.87
175,395,423,Paneer Tikka,2023-04-24 07:21:41,Cancelled,438.53
176,1862,298,Paneer Tikka,2024-09-22 07:21:41,Delivered,217.6
177,6374,93,Dal Makhani,2024-03-22 07:21:41,Delivered,1452.17
178,2557,20,Butter Chicken,2024-10-15 07:21:41,Cancelled,1402.05
179,7027,312,Mutton Curry,2023-09-11 07:21:41,Preparing,1457.42
180,4005,170,Dosa,2024-10-08 07:21:41,Preparing,983.06
181,6517,423,Pani Puri,2024-04-06 07:21:41,Preparing,1303.85
182,5416,175,Samosa,2025-02-13 07:21:41,Preparing,1068.63
183,2657,107,Pani Puri,2024-03-20 07:21:41,Delivered,474.83
184,3844,339,Paneer Tikka,2023-06-05 07:21:41,Preparing,1262.82
185,2798,427,Biryani,2023-07-28 07:21:41,Preparing,808.55
186,359,58,Dosa,2023-06-20 07:21:41,Delivered,256.53
187,5726,22,Dosa,2023-06-17 07:21:41,Cancelled,1302.93
188,8203,342,Biryani,2022-03-16 07:21:41,Cancelled,664.01
189,7079,434,Samosa,2024-10-12 07:21:41,Cancelled,883.28
190,4243,114,Dosa,2023-09-18 07:21:41,Cancelled,698.38
191,3205,352,Pani Puri,2024-10-21 07:21:41,Preparing,341.11
192,7169,130,Paneer Tikka,2022-12-09 07:21:41,Preparing,1135.87
193,5557,448,Dal Makhani,2024-12-04 07:21:41,Preparing,199.85
194,680,85,Rogan Josh,2024-08-24 07:21:41,Delivered,888.57
195,714,459,Rogan Josh,2022-11-05 07:21:41,Cancelled,1118.4
196,375,285,Samosa,2022-07-06 07:21:41,Cancelled,835.89
197,9416,29,Dosa,2024-11-21 07:21:41,Preparing,356.4
198,5912,16,Dal Makhani,2023-09-04 07:21:41,Delivered,335.47
199,5285,44,Pani Puri,2023-02-14 07:21:41,Delivered,1152.55
200,9110,97,Rogan Josh,2024-02-01 07:21:41,Preparing,396.23
201,2209,118,Dal Makhani,2024-06-23 07:21:41,Cancelled,988.85
202,5290,277,Butter Chicken,2025-01-17 07:21:41,Delivered,707.41
203,540,47,Samosa,2023-12-14 07:21:41,Delivered,555.73
204,5853,239,Chole Bhature,2024-04-11 07:21:41,Cancelled,243.74
205,6099,496,Dosa,2024-11-17 07:21:41,Cancelled,1342.84
206,6925,470,Dal Makhani,2024-02-01 07:21:41,Preparing,784.27
207,6686,345,Dal Makhani,2023-12-09 07:21:41,Delivered,1321.43
208,1984,441,Samosa,2025-01-26 07:21:41,Delivered,317.36
209,9268,247,Pani Puri,2023-02-27 07:21:41,Cancelled,1060.11
210,2267,160,Biryani,2024-11-15 07:21:41,Cancelled,1445.13
211,9164,41,Dosa,2024-03-05 07:21:41,Cancelled,472.56
212,4956,379,Paneer Tikka,2023-09-15 07:21:41,Preparing,571.26
213,5590,427,Dal Makhani,2022-03-23 07:21:41,Delivered,1113.32
214,2866,361,Samosa,2023-10-15 07:21:41,Delivered,686.02
215,4732,260,Dal Makhani,2022-12-18 07:21:41,Preparing,870.6
216,1210,232,Chole Bhature,2023-12-08 07:21:41,Preparing,922.22
217,8506,197,Biryani,2022-10-31 07:21:41,Preparing,1177.15
218,6197,43,Dosa,2023-05-07 07:21:41,Delivered,613.71
219,8483,224,Butter Chicken,2022-08-09 07:21:41,Delivered,907.21
220,246,135,Rogan Josh,2024-10-14 07:21:41,Preparing,389.01
221,2988,138,Paneer Tikka,2024-06-20 07:21:41,Preparing,660.12
222,4083,438,Butter Chicken,2023-03-26 07:21:41,Preparing,1173.35
223,4570,290,Paneer Tikka,2023-05-25 07:21:41,Cancelled,935.05
224,8910,441,Pani Puri,2022-04-28 07:21:41,Cancelled,293.19
225,5324,269,Pani Puri,2022-06-07 07:21:41,Delivered,496.5
226,6582,432,Dosa,2024-08-20 07:21:41,Delivered,153.6
227,7338,91,Rogan Josh,2023-07-18 07:21:41,Delivered,452.43
228,9387,276,Dosa,2023-03-15 07:21:41,Preparing,553.29
229,8352,172,Dosa,2023-09-22 07:21:41,Cancelled,864.37
230,5477,120,Chole Bhature,2024-06-27 07:21:41,Delivered,1366.77
231,7455,411,Dal Makhani,2022-07-14 07:21:41,Preparing,144.51
232,4729,174,Pani Puri,2024-10-16 07:21:41,Delivered,435.45
233,6892,413,Dosa,2023-04-11 07:21:41,Preparing,173.07
234,6887,167,Mutton Curry,2022-11-02 07:21:41,Preparing,1414.76
235,5962,221,Biryani,2025-02-23 07:21:41,Cancelled,786.59
236,2644,312,Mutton Curry,2024-04-06 07:21:41,Delivered,829.9
237,5294,98,Samosa,2025-02-04 07:21:41,Delivered,1138.45
238,112,309,Pani Puri,2025-01-30 07:21:41,Delivered,1423.59
239,5548,139,Chole Bhature,2023-03-25 07:21:41,Preparing,560.38
240,7453,54,Biryani,2025-01-13 07:21:41,Preparing,361.33
241,567,86,Biryani,2024-12-30 07:21:41,Delivered,149.33
242,6536,397,Dal Makhani,2024-08-19 07:21:41,Cancelled,934.48
243,1668,423,Dal Makhani,2024-03-06 07:21:41,Cancelled,482.46
244,3360,405,Butter Chicken,2022-12-04 07:21:41,Delivered,1094.59
245,1264,38,Biryani,2024-09-10 07:21:41,Cancelled,1443.28
246,4824,370,Samosa,2022-10-31 07:21:41,Delivered,1289.89
247,1031,249,Pani Puri,2022-11-28 07:21:41,Delivered,1016.07
248,961,415,Biryani,2023-04-20 07:21:41,Cancelled,683.98
249,7372,22,Dal Makhani,2022-08-25 07:21:41,Preparing,721.71
250,9174,174,Butter Chicken,2024-05-04 07:21:41,Cancelled,971.67
251,2459,350,Dosa,2024-11-12 07:21:41,Preparing,336.43
252,808,270,Dosa,2022-12-26 07:21:41,Preparing,908.9
253,5106,170,Samosa,2023-12-29 07:21:41,Cancelled,101.94
254,7158,188,Mutton Curry,2023-02-28 07:21:41,Cancelled,857.3
255,4611,226,Pani Puri,2023-10-21 07:21:41,Preparing,667.9
256,1443,373,Rogan Josh,2023-09-04 07:21:41,Cancelled,141.72
257,1776,200,Chole Bhature,2022-05-27 07:21:41,Delivered,406.28
258,5629,447,Dal Makhani,2023-12-27 07:21:41,Delivered,1270.46
259,1651,436,Dosa,2022-07-24 07:21:41,Preparing,757.21
260,297,258,Pani Puri,2024-04-22 07:21:41,Delivered,1461.8
261,9608,422,Biryani,2024-11-21 07:21:41,Preparing,905.81
262,2489,171,Chole Bhature,2024-11-05 07:21:41,Cancelled,317.97
263,2896,345,Butter Chicken,2022-03-14 07:21:41,Preparing,1084.61
264,2141,388,Butter Chicken,2024-12-14 07:21:41,Cancelled,879.65
265,7457,200,Biryani,2024-10-11 07:21:41,Cancelled,510.85
266,5705,163,Mutton Curry,2024-07-01 07:21:41,Preparing,487.07
267,285,253,Mutton Curry,2024-08-14 07:21:41,Cancelled,558.48
268,2718,80,Butter Chicken,2023-12-02 07:21:41,Cancelled,1360.6
269,2040,41,Pani Puri,2022-06-28 07:21:41,Preparing,1323.3
270,8914,98,Rogan Josh,2023-09-26 07:21:41,Preparing,395.67
271,8085,382,Samosa,2023-07-03 07:21:41,Delivered,1334.09
272,1402,423,Paneer Tikka,2024-04-22 07:21:41,Preparing,657.41
273,3672,280,Rogan Josh,2023-02-10 07:21:41,Cancelled,1226.79
274,3147,211,Dal Makhani,2023-10-24 07:21:41,Preparing,1189.46
275,8814,417,Biryani,2024-10-14 07:21:41,Cancelled,965.75
276,6309,304,Butter Chicken,2024-05-05 07:21:41,Preparing,641.6
277,33,321,Chole Bhature,2025-01-10 07:21:41,Cancelled,1342.93
278,4873,120,Samosa,2024-03-23 07:21:41,Cancelled,1376.93
279,8626,146,Chole Bhature,2025-01-02 07:21:41,Preparing,744.31
280,1230,364,Dal Makhani,2024-02-27 07:21:41,Preparing,246.33
281,4054,158,Samosa,2023-01-10 07:21:41,Delivered,1159.43
282,8448,251,Biryani,2024-03-06 07:21:41,Cancelled,996.24
283,229,57,Rogan Josh,2023-08-25 07:21:41,Cancelled,1296.99
284,3287,69,Butter Chicken,2023-11-13 07:21:41,Preparing,1017.09
285,7037,144,Dal Makhani,2024-07-29 07:21:41,Preparing,453.12
286,1936,440,Chole Bhature,2023-09-11 07:21:41,Cancelled,1280.92
287,3927,310,Paneer Tikka,2022-09-24 07:21:41,Delivered,1049.52
288,9487,162,Butter Chicken,2023-12-03 07:21:41,Delivered,688.33
289,1412,357,Butter Chicken,2024-07-21 07:21:41,Preparing,984.12
290,621,314,Pani Puri,2024-06-14 07:21:41,Preparing,1044.29
291,2846,147,Butter Chicken,2024-12-15 07:21:41,Preparing,756.63
292,5078,397,Samosa,2022-04-09 07:21:41,Cancelled,274.28
293,9680,287,Dal Makhani,2022-11-16 07:21:41,Preparing,1194.17
294,8330,157,Samosa,2024-03-02 07:21:41,Delivered,916.02
295,4598,472,Biryani,2024-06-07 07:21:41,Delivered,1131.85
296,5879,227,Chole Bhature,2022-08-19 07:21:41,Preparing,1082.21
297,4555,291,Pani Puri,2024-06-30 07:21:41,Delivered,599.38
298,2472,62,Biryani,2023-07-22 07:21:41,Preparing,927.92
299,356,53,Biryani,2023-06-07 07:21:41,Delivered,643.45
300,6690,391,Mutton Curry,2023-11-11 07:21:41,Cancelled,410.83
301,6932,230,Biryani,2023-11-02 07:21:41,Preparing,1388.94
302,7367,187,Biryani,2022-08-27 07:21:41,Preparing,1464.17
303,1379,398,Dal Makhani,2022-07-25 07:21:41,Cancelled,746.58
304,5886,18,Paneer Tikka,2025-02-01 07:21:41,Cancelled,1433.61
305,3602,182,Mutton Curry,2022-10-28 07:21:41,Cancelled,1009.63
306,4680,321,Dosa,2022-07-23 07:21:41,Cancelled,113.51
307,7147,468,Mutton Curry,2022-08-28 07:21:41,Preparing,915.73
308,1843,420,Samosa,2023-05-18 07:21:41,Cancelled,330.08
309,4390,443,Chole Bhature,2024-09-18 07:21:41,Cancelled,615.45
310,1625,42,Samosa,2023-04-15 07:21:41,Cancelled,1472.39
311,5124,365,Biryani,2024-10-07 07:21:41,Preparing,429.42
312,9919,193,Dal Makhani,2024-01-06 07:21:41,Preparing,116.74
313,9786,230,Biryani,2022-08-07 07:21:41,Cancelled,334.04
314,7180,293,Paneer Tikka,2024-04-12 07:21:41,Cancelled,381.82
315,6324,423,Dosa,2024-10-16 07:21:41,Cancelled,124.26
316,1847,387,Butter Chicken,2024-04-02 07:21:41,Cancelled,324.68
317,5518,226,Biryani,2024-06-13 07:21:41,Delivered,433.04
318,1820,257,Butter Chicken,2023-07-18 07:21:41,Delivered,1082.58
319,1988,476,Dal Makhani,2023-02-16 07:21:41,Preparing,215.33
320,3325,416,Biryani,2022-09-24 07:21:41,Delivered,717.38
321,6360,223,Biryani,2022-03-09 07:21:41,Cancelled,532.49
322,6125,471,Rogan Josh,2024-02-05 07:21:41,Delivered,1387.41
323,3902,45,Biryani,2024-12-08 07:21:41,Preparing,193.4
324,8821,389,Dosa,2022-12-31 07:21:41,Delivered,908.25
325,4234,27,Pani Puri,2023-03-19 07:21:41,Cancelled,539.79
326,5012,197,Samosa,2024-12-15 07:21:41,Delivered,835.03
327,2209,192,Paneer Tikka,2023-02-26 07:21:41,Delivered,287.01
328,166,199,Biryani,2022-12-11 07:21:41,Delivered,1392.92
329,1697,267,Biryani,2025-02-09 07:21:41,Delivered,809.52
330,8841,62,Butter Chicken,2024-12-07 07:21:41,Preparing,509.82
331,5018,292,Dal Makhani,2023-10-02 07:21:41,Delivered,749.68
332,9018,107,Chole Bhature,2022-10-28 07:21:41,Cancelled,599.72
333,2477,68,Chole Bhature,2024-03-29 07:21:41,Cancelled,487.74
334,1812,336,Mutton Curry,2024-03-15 07:21:41,Cancelled,1231.96
335,9611,401,Dosa,2022-10-08 07:21:41,Cancelled,855.32
336,2185,217,Mutton Curry,2023-08-30 07:21:41,Cancelled,311.43
337,6107,370,Biryani,2023-03-16 07:21:41,Delivered,1085.44
338,6577,93,Pani Puri,2023-09-09 07:21:41,Preparing,990.43
339,8597,491,Butter Chicken,2023-01-17 07:21:41,Preparing,1497.77
340,2184,92,Paneer Tikka,2024-02-20 07:21:41,Preparing,775.34
341,9196,210,Biryani,2023-06-21 07:21:41,Preparing,141.27
342,5443,297,Mutton Curry,2023-07-19 07:21:41,Preparing,1007.9
343,146,452,Rogan Josh,2023-11-28 07:21:41,Preparing,787.21
344,3864,273,Mutton Curry,2024-05-20 07:21:41,Delivered,405.7
345,7408,51,Pani Puri,2024-04-15 07:21:41,Preparing,1370.37
346,1882,43,Biryani,2024-07-04 07:21:41,Cancelled,1056.32
347,6195,180,Mutton Curry,2023-07-29 07:21:41,Delivered,1437.16
348,4258,497,Paneer Tikka,2024-05-25 07:21:41,Delivered,317.23
349,3546,19,Butter Chicken,2025-02-07 07:21:41,Preparing,383.78
350,1984,334,Samosa,2022-12-08 07:21:41,Delivered,1102.74
351,2677,42,Rogan Josh,2023-06-21 07:21:41,Delivered,498.09
352,8253,83,Dosa,2024-12-31 07:21:41,Delivered,292.13
353,409,161,Rogan Josh,2022-06-08 07:21:41,Preparing,197.39
354,3050,164,Dosa,2023-10-14 07:21:41,Delivered,941.91
355,9503,198,Pani Puri,2022-04-28 07:21:41,Preparing,207.96
356,3418,493,Chole Bhature,2024-02-24 07:21:41,Preparing,361.76
357,1585,98,Biryani,2022-07-17 07:21:41,Delivered,318.69
358,1594,13,Pani Puri,2024-01-08 07:21:41,Delivered,277.51
359,7932,94,Paneer Tikka,2022-10-07 07:21:41,Preparing,1346.75
360,1516,243,Paneer Tikka,2024-05-26 07:21:41,Cancelled,297.18
361,4743,179,Mutton Curry,2023-08-18 07:21:41,Delivered,870.05
362,7884,199,Pani Puri,2023-09-29 07:21:41,Cancelled,395.3
363,2318,362,Dal Makhani,2024-08-19 07:21:41,Cancelled,1484.88
364,4540,294,Paneer Tikka,2024-11-30 07:21:41,Cancelled,439.87
365,1129,377,Dosa,2024-05-01 07:21:41,Cancelled,845.92
366,2795,260,Dal Makhani,2022-09-10 07:21:41,Preparing,1095.49
367,7690,244,Dosa,2022-11-18 07:21:41,Delivered,1322.23
368,9403,411,Paneer Tikka,2023-10-21 07:21:41,Cancelled,532.56
369,7418,316,Dosa,2025-01-23 07:21:41,Delivered,1064.94
370,6825,241,Biryani,2023-10-10 07:21:41,Delivered,251.27
371,1815,459,Butter Chicken,2024-12-08 07:21:41,Delivered,923.53
372,8392,149,Butter Chicken,2024-03-10 07:21:41,Cancelled,490.76
373,8839,435,Mutton Curry,2023-01-18 07:21:41,Cancelled,913.7
374,7419,56,Rogan Josh,2023-05-02 07:21:41,Cancelled,717.52
375,873,298,Chole Bhature,2024-03-17 07:21:41,Cancelled,974.54
376,4118,194,Biryani,2023-03-24 07:21:41,Delivered,688.39
377,7292,151,Rogan Josh,2024-05-17 07:21:41,Delivered,1473.36
378,8717,12,Dosa,2023-10-27 07:21:41,Cancelled,881.49
379,9729,481,Paneer Tikka,2024-10-28 07:21:41,Cancelled,336.24
380,3938,210,Butter Chicken,2023-03-28 07:21:41,Delivered,1364.33
381,6406,301,Paneer Tikka,2024-11-02 07:21:41,Delivered,1308.2
